Quantity,Reference,Name,Description,Manufacturer,Part Number
1,U4,LDO,"IC,500-mA LDO,TL5209DR,SOIC8,SMD",TI,TL5209DR
1,U6,Logic,"IC,Single Positive-edge-triggered D-type Flip-flop,SN74LVC1G74DCTR,SM8,SMD",TI,SN74LVC1G74DCTR
1,U15,Logic,"IC,Dual Buffer and Line Driver,SN74LVC2G241DCUT,US8,SMD",TI,SN74LVC2G241DCUT
1,U3,Logic,"IC,Single Inverter Buffer or Driver,SN74LVC1G06DCKT,SC-70,SMD",TI,SN74LVC1G06DCKT
1,U16,Logic,"IC,SINGLE BUFFER/DRIVER WITH OPEN-DRAIN OUTPUT,SN74LVC1G07DCKR,SC-70,SMD",TI,SN74LVC1G07DCKR
1,U11,Interface,"IC,HDMI 1.4 transmitter with 3 × 8-bit video inputs, HDCP and CEC support,TDA19988BHN,HVQFN64,SMD,Tube;Note:TDA19988BHN/C1,518 for TR",NXP,"TDA19988BHN/C1,551"
1,U14,Ethernet,"IC,Small Footprint MII/RMII 10/100 Ethernet Transceiver,LAN8710Ai-EZK,QFN-32,SMD",SMSC,LAN8710Ai-EZK
22,"R5,R6,R7,R8,R19,R20,R27,R29, R30,R46,R47,R48,R49,R50,R51, R137,R142,R149,R159,R160,R16 1,R162",Thick film Resistor,"RES,0R,+/-5%,1/16W,SMD0402",YAGEO,RC0402JR-070RL
1,R143,Thick film Resistor,"RES,10R,+/-1%,1/16W,SMD0402",YAGEO,RC0402FR-0710RL
5,"R18,R21,R28,R45,R167",Thick film Resistor,"RES,33R,+/-5%,1/16W,SMD0402",YAGEO,RC0402JR-0733RL
5,"R22,R120,R121,R122,R123",Thick film Resistor,"RES,49R9,+/-1%,1/16W,SMD0402",YAGEO,RC0402FR-0749R9L
11,"R75,R125,R126,R127,R128,R129 ,R131,R133,R134,R138,R139",Thick film Resistor,"RES,100R,+/-5%,1/16W,SMD0402",YAGEO,RC0402JR-07100RL
1,R99,Thick film Resistor,"RES,240R,+/-1%,1/16W,SMD0402",YAGEO,RC0402FR-07240RL
2,"R130,R132",Thick film Resistor,"RES,470R,+/-5%,1/16W,SMD0402",YAGEO,RC0402JR-07470RL
5,"R12,R71,R72,R73,R74",Thick film Resistor,"RES,820R,+/-5%,1/16W,SMD0402",YAGEO,RC0402JR-07820RL
9,"R3,R4,R97,R112,R113,R114,R11 9,R146,R147",Thick film Resistor,"RES,1K5,+/-5%,1/16W,SMD0402",YAGEO,RC0402JR-071K5L
6,"R23,R24,R25,R26,R163,R164",Thick film Resistor,"RES,4K7,+/-1%,1/16W,SMD0402",YAGEO,RC0402FR-074K7L
34,"R14,R52,R53,R54,R96,R98,R100 ,R101,R102,R103,R104,R105,R1 06,R107,R108,R109,R110,R111, R115,R116,R117,R118,R135,R14 5,R148,R150,R151,R152,R153,R 154,R155,R156,R157,R158",Thick film Resistor,"RES,10K,+/-5%,1/16W,SMD0402",YAGEO,RC0402JR-0710KL
1,R144,Thick film Resistor,"RES,12K,+/-1%,1/16W,SMD0402",YAGEO,RC0402FR-0712KL
22,"R1,R56,R65,R66,R67,R68,R76,R 77,R78,R79,R80,R82,R83,R84,R 85,R86,R87,R88,R89,R94,R95,R 165",Thick film Resistor,"RES,100K,+/-1%,1/16W,SMD0402",YAGEO,RC0402FR-07100KL
1,R17,Thick film Resistor,"RES,1M,+/-5%,1/16W,SMD0402",YAGEO,RC0402JR-071ML
2,"R136,FB8",Thick film Resistor,"RES,0R1,+/-5%,1/8W,SMD0805",Yageo,RL0805JR-070R1L
1,R11,Thick film Resistor,"RES,280K,+/-1%,1/16W,SMD0402",Yageo,RC0402FR-07280KL
